,Aptitude,Verbal,Label
0,34.72365962,30.38671077,0
1,30.38671077,35.94740877,0
2,35.94740877,60.28259939,0
3,45.18327748,61.20666454,0
4,95.96155507,75.11365839,0
5,75.11365839,82.40705337,0
6,39.63833914,54.07105215,0
7,68.04685548,70.76150955,0
8,67.47202755,89.77677575,0
9,50.63478829,34.31206098,0
10,34.31206098,78.02409145,0
11,93.2143888,61.93020602,0
12,61.93020602,38.8858038,0
13,38.8858038,61.47928945,0
14,52.20797973,52.14540477,0
15,40.33689374,54.73510555,0
16,54.73510555,34.01550011,0
17,34.01550011,64.27698887,0
18,74.88925296,34.28364003,0
19,34.28364003,84.00239366,0
20,51.64772027,94.54336777,0
21,82.46875376,51.14775177,0
22,51.14775177,62.32267576,0
23,62.32267576,77.29303493,0
24,34.62451385,50.38649612,0
25,50.38649612,49.68667722,0
26,49.68667722,97.74563396,0
27,32.67720017,74.34869137,0
28,35.38611282,56.3538175,0
29,56.3538175,30.15882245,0
30,30.15882245,44.76826172,0
31,44.76826172,66.66089447,0
32,66.66089447,40.55755098,0
33,49.17256322,80.37957401,0
34,60.28259939,79.13273605,1
35,79.13273605,45.18327748,1
36,61.20666454,75.12474557,1
37,75.12474557,76.1987867,1
38,76.1987867,84.53281996,1
39,84.53281996,95.96155507,1
40,82.40705337,69.46458876,1
41,69.46458876,39.63833914,1
42,54.07105215,69.17014406,1
43,69.17014406,68.04685548,1
44,70.76150955,77.07878373,1
45,77.07878373,67.47202755,1
46,89.77677575,50.63478829,1
47,78.02409145,62.37101367,1
48,62.37101367,80.29018075,1
49,80.29018075,93.2143888,1
50,61.47928945,85.50451939,1
51,85.50451939,52.20797973,1
52,52.14540477,40.33689374,1
53,64.27698887,74.88925296,1
54,84.00239366,51.64772027,1
55,94.54336777,82.46875376,1
56,77.29303493,97.87159928,1
57,97.87159928,62.1730638,1
58,62.1730638,91.6649745,1
59,91.6649745,80.04481794,1
60,80.04481794,99.37252693,1
61,99.37252693,90.64671411,1
62,90.64671411,34.62451385,1
63,97.74563396,32.67720017,1
64,74.34869137,71.89646206,1
65,71.89646206,75.49561147,1
66,75.49561147,35.38611282,1
67,40.55755098,49.17256322,1
68,80.37957401,66.84671857,1
69,66.84671857,32.82283304,1
